Date,Country_of_Origin,Country_of_Destination,Product_Category,Trade_Value,Trade_Volume
2020-05-06,Italy,Germany,Vehicles,20293.99,406.0
2011-07-20,Germany,China,Textiles,14853.35,27.0
2019-12-14,Italy,USA,Chemicals,7397.3,961.0
2017-11-01,Canada,France,Electronics,7556.54,20.0
2013-08-01,Russia,China,Vehicles,13211.35,601.0
2021-01-13,Italy,USA,Textiles,7519.17,35.0
2019-03-29,Canada,USA,Electronics,5423.92,398.0
2016-11-03,France,China,Textiles,3807.24,88.0
2018-08-02,France,Germany,Electronics,6911.46,340.0
2012-10-24,Italy,USA,Electronics,10891.73,1668.0
2010-12-31,Italy,Brazil,Food,3477.31,138.0
2017-04-25,Germany,Russia,Chemicals,21092.59,1668.0
2012-05-25,Italy,Japan,Pharmaceuticals,3651.53,513.0
2011-11-25,Canada,France,Vehicles,4682.93,444.0
2020-05-12,Italy,Canada,Machinery,21841.31,854.0
2013-09-16,Japan,France,Machinery,48207.37,444.0
2014-10-25,Germany,Brazil,Textiles,11144.69,11.0
2012-10-07,Japan,USA,Machinery,1125.38,52.0
2022-10-26,Germany,USA,Food,6035.66,1140.0
2010-10-16,Russia,India,Chemicals,16500.19,93.0
2022-03-03,Canada,France,Machinery,21012.31,349.0
2011-07-27,Brazil,Canada,Food,19457.56,29.0
2017-06-07,Russia,Brazil,Electronics,12259.78,240.0
2011-11-25,Japan,Brazil,Electronics,7682.13,647.0
2014-11-18,Italy,Germany,Pharmaceuticals,16009.89,948.0
2012-12-20,China,Japan,Food,12763.87,824.0
2016-02-19,Germany,India,Vehicles,16482.2,450.0
2017-09-18,USA,China,Chemicals,10649.79,435.0
2012-10-19,Canada,Italy,Machinery,7508.58,973.0
2018-09-12,India,Brazil,Pharmaceuticals,4422.53,250.0
2019-03-01,France,Italy,Textiles,3903.17,555.0
2014-08-12,Russia,Brazil,Electronics,50837.75,425.0
2020-09-22,Japan,Brazil,Electronics,3354.61,302.0
2013-09-01,China,Brazil,Chemicals,3632.44,66.0
2012-10-13,France,Canada,Machinery,2715.15,1465.0
2012-02-29,Canada,USA,Chemicals,11221.59,765.0
2014-10-21,France,Germany,Machinery,7333.35,504.0
2013-01-27,India,Japan,Textiles,2371.43,197.0
2018-09-14,India,France,Vehicles,410.1,78.0
2012-07-27,Japan,Germany,Chemicals,3873.25,48.0
2019-02-05,USA,Italy,Machinery,1179.58,312.0
2020-05-28,Canada,France,Textiles,554.49,24.0
2021-12-12,Germany,India,Vehicles,71389.76,101.0
2016-01-07,Russia,India,Pharmaceuticals,26489.77,784.0
2014-10-17,Japan,Italy,Machinery,1017.61,547.0
2022-05-04,Japan,France,Vehicles,8171.65,198.0
2013-02-22,India,Japan,Pharmaceuticals,23286.27,19.0
2017-12-15,Russia,India,Electronics,3823.1,371.0
2020-08-31,France,Canada,Food,3192.64,654.0
2021-11-25,USA,Russia,Machinery,1655.73,885.0
2016-02-10,France,Japan,Machinery,4731.84,750.0
2018-04-06,India,Japan,Machinery,22021.01,786.0
2020-01-07,Germany,Japan,Pharmaceuticals,665.43,482.0
2014-11-17,Brazil,USA,Chemicals,26085.09,36.0
2016-03-18,Japan,France,Electronics,720.62,420.0
2012-10-30,Germany,Italy,Vehicles,85.51,445.0
2010-08-30,Japan,France,Vehicles,7173.11,336.0
2013-04-23,Brazil,India,Textiles,2832.95,404.0
2020-08-27,China,Russia,Vehicles,589.42,444.0
2015-03-04,Russia,Brazil,Pharmaceuticals,8412.56,314.0
2013-12-28,Italy,India,Food,24214.61,899.0
2020-11-01,India,Germany,Machinery,11737.95,103.0
2016-04-12,France,Canada,Vehicles,906.67,927.0
2018-10-22,Japan,Russia,Vehicles,18313.48,28.0
2017-04-22,China,Canada,Chemicals,13855.34,43.0
2022-08-11,Canada,Italy,Chemicals,18804.06,12.0
2018-05-30,Russia,Japan,Machinery,9523.48,1946.0
2019-05-02,India,Italy,Electronics,3653.56,1226.0
2011-06-18,Italy,Brazil,Vehicles,7990.04,1465.0
2021-09-05,Japan,USA,Machinery,24150.95,128.0
2019-03-20,Italy,France,Chemicals,7754.9,552.0
2011-10-10,USA,Canada,Textiles,7465.69,388.0
2012-07-24,Russia,Canada,Textiles,30545.8,876.0
2016-12-22,Brazil,Russia,Food,3430.28,576.0
2020-09-08,USA,Canada,Food,15463.35,1311.0
2020-08-08,India,China,Textiles,4557.89,1868.0
2017-09-03,Brazil,France,Food,2883.41,4.0
2021-07-28,Canada,USA,Food,7237.44,925.0
2017-04-22,Japan,Germany,Textiles,12107.62,542.0
2012-09-05,Japan,Russia,Chemicals,13482.45,372.0
2018-12-05,Russia,Brazil,Textiles,1743.71,41.0
2018-05-12,Japan,India,Food,5762.81,653.0
2010-04-18,USA,Italy,Textiles,5235.79,61.0
2019-08-29,France,Italy,Machinery,5651.43,245.0
2022-03-13,Brazil,India,Food,13076.29,439.0
2013-02-27,Brazil,Italy,Machinery,6339.61,96.0
2016-03-27,Japan,China,Pharmaceuticals,11142.1,427.0
2012-05-22,Germany,China,Machinery,6326.93,274.0
2013-08-31,Italy,Canada,Electronics,4688.71,314.0
2014-09-10,Italy,China,Chemicals,10484.15,440.0
2010-09-01,Italy,Canada,Food,9673.78,127.0
2014-12-24,USA,France,Textiles,1216.05,47.0
2013-12-14,France,Russia,Vehicles,3362.25,236.0
2010-01-28,Japan,France,Machinery,24335.19,269.0
2022-07-12,India,Germany,Machinery,2582.37,70.0
2017-10-03,Canada,Japan,Chemicals,5746.89,631.0
2013-08-23,France,China,Food,19.89,89.0
2015-08-07,China,France,Pharmaceuticals,1150.74,804.0
2020-06-09,Germany,Canada,Chemicals,4302.84,76.0
2015-06-21,Brazil,Germany,Chemicals,19472.93,347.0
2015-04-13,Japan,France,Pharmaceuticals,5062.92,128.0
2010-12-26,Italy,Russia,Textiles,1794.42,91.0
2013-04-12,France,Germany,Pharmaceuticals,10237.57,1516.0
2010-05-14,China,Canada,Machinery,33297.05,309.0
2013-02-01,Canada,USA,Vehicles,1646.61,237.0
2022-11-04,Brazil,Japan,Pharmaceuticals,18363.68,459.0
2014-03-03,Russia,Japan,Textiles,776.71,1085.0
2013-05-27,India,Italy,Vehicles,4801.19,9.0
2015-02-12,India,USA,Electronics,110.6,368.0
2017-02-18,Germany,Japan,Electronics,14450.14,659.0
2013-08-18,India,France,Vehicles,33157.75,1120.0
2012-03-01,Japan,Germany,Pharmaceuticals,2629.82,264.0
2013-04-27,Japan,India,Pharmaceuticals,8303.84,84.0
2022-09-16,USA,Brazil,Vehicles,10911.26,517.0
2014-05-10,Germany,Italy,Vehicles,1395.51,5.0
2012-10-06,Germany,Japan,Electronics,14056.98,404.0
2016-03-06,India,Canada,Chemicals,8447.33,774.0
2012-07-27,India,Germany,Electronics,12340.26,2281.0
2020-03-30,USA,France,Pharmaceuticals,18567.99,87.0
2015-08-26,Japan,India,Textiles,17129.67,349.0
2019-04-14,Italy,USA,Machinery,4159.31,507.0
2011-02-13,Germany,USA,Machinery,14358.07,335.0
2016-11-16,China,Italy,Machinery,8720.83,249.0
2011-08-21,Brazil,France,Pharmaceuticals,12487.55,173.0
2016-03-17,Brazil,Japan,Food,1196.26,647.0
2013-11-14,Canada,France,Vehicles,6523.64,40.0
2022-05-03,Germany,Canada,Food,5968.28,168.0
2021-06-24,Italy,France,Pharmaceuticals,3007.14,240.0
2022-08-15,Russia,USA,Chemicals,1766.67,1057.0
2014-02-28,Canada,Russia,Pharmaceuticals,3129.49,249.0
2017-04-27,China,India,Machinery,2135.32,100.0
2013-10-09,Japan,Canada,Food,8054.95,2928.0
2021-05-30,Germany,USA,Machinery,4487.9,632.0
2011-12-24,USA,France,Electronics,2847.54,98.0
2017-08-10,Germany,France,Pharmaceuticals,18354.21,450.0
2014-11-21,Russia,Italy,Food,4504.09,173.0
2019-04-18,Germany,Canada,Vehicles,4783.57,362.0
2010-05-15,India,USA,Machinery,1658.62,188.0
2021-03-24,Italy,France,Chemicals,5057.11,60.0
2017-11-15,Germany,France,Chemicals,4019.35,790.0
2011-01-30,Italy,Canada,Textiles,9373.21,1160.0
2016-02-27,China,France,Chemicals,2340.2,11.0
2017-02-03,Japan,Canada,Textiles,3470.48,105.0
2011-05-08,USA,Russia,Textiles,9521.5,29.0
2015-02-20,Japan,Canada,Chemicals,3032.7,264.0
2013-10-11,Germany,Canada,Textiles,17791.0,728.0
2017-08-15,Germany,France,Food,4105.06,1882.0
2010-06-21,Japan,France,Pharmaceuticals,12723.74,442.0
2014-12-05,Germany,France,Textiles,7068.4,1017.0
2013-01-03,Canada,India,Machinery,3207.63,317.0
2021-06-11,Germany,Japan,Vehicles,17863.25,24.0
2017-07-26,Russia,Brazil,Machinery,1791.72,924.0
2014-04-27,China,Japan,Food,2006.04,268.0
2022-07-18,Germany,France,Chemicals,2167.42,491.0
2022-08-16,Brazil,Italy,Electronics,4353.16,112.0
2022-09-19,USA,India,Pharmaceuticals,796.51,1571.0
2015-04-26,Russia,Italy,Vehicles,13829.74,655.0
2011-08-17,Italy,China,Machinery,13088.18,44.0
2014-07-17,Italy,India,Food,9879.78,750.0
2018-11-12,China,Russia,Pharmaceuticals,4807.58,26.0
2012-03-19,Japan,China,Electronics,2606.73,1849.0
2016-05-14,China,USA,Machinery,7884.8,113.0
2011-10-15,Japan,Brazil,Textiles,8996.22,1056.0
2014-01-31,Canada,France,Pharmaceuticals,2448.59,1075.0
2019-08-22,Russia,China,Chemicals,14344.18,5.0
2011-07-11,USA,Germany,Machinery,4406.8,162.0
2020-11-08,Russia,France,Vehicles,18667.56,218.0
2016-04-03,Germany,Canada,Food,18347.15,329.0
2010-01-02,Russia,France,Vehicles,8585.77,96.0
2014-12-22,Japan,USA,Vehicles,17718.23,56.0
2018-09-30,China,France,Electronics,925.39,19.0
2016-05-16,France,Russia,Vehicles,5684.98,1240.0
2016-01-18,Canada,Italy,Textiles,4030.75,12.0
2018-07-22,Russia,Brazil,Pharmaceuticals,3814.69,491.0
2013-06-01,Brazil,France,Textiles,12983.31,474.0
2018-01-29,Japan,France,Chemicals,8392.94,1284.0
2014-12-08,Italy,Germany,Vehicles,11743.53,959.0
2010-08-23,Brazil,Italy,Vehicles,1684.29,205.0
2019-03-05,Japan,Russia,Chemicals,1394.82,44.0
2018-02-08,Russia,China,Vehicles,18647.24,35.0
2013-10-05,Germany,France,Chemicals,3671.47,142.0
2018-02-04,Russia,Canada,Chemicals,12589.87,1086.0
2014-06-07,USA,Russia,Textiles,5257.82,723.0
2022-10-07,India,Italy,Vehicles,23469.35,1263.0
2020-02-21,Canada,Japan,Electronics,32711.56,48.0
2010-11-27,Russia,Germany,Machinery,2818.91,1686.0
2013-07-17,France,Russia,Electronics,2408.86,262.0
2016-08-16,USA,France,Food,228.22,1387.0
2010-05-21,Japan,Canada,Electronics,2766.05,772.0
2021-05-10,USA,Canada,Machinery,22939.16,625.0
2019-11-22,Japan,Brazil,Vehicles,2112.09,757.0
2021-09-19,India,Italy,Textiles,4734.8,537.0
2014-01-12,Japan,Italy,Food,3615.5,746.0
2020-09-12,Russia,France,Electronics,10377.79,456.0
2014-07-12,Brazil,China,Food,523.66,666.0
2010-08-06,USA,Brazil,Pharmaceuticals,3367.01,124.0
2019-01-09,China,Japan,Electronics,9546.56,222.0
2019-03-14,Brazil,Germany,Vehicles,620.1,1651.0
2011-05-14,Brazil,China,Chemicals,5625.42,858.0
2020-06-29,Russia,Japan,Textiles,20051.02,161.0
2014-03-17,USA,Russia,Electronics,21066.96,605.0
2010-01-27,Canada,Brazil,Electronics,6007.83,224.0
2016-01-18,India,Italy,Pharmaceuticals,2762.45,1704.0
2018-01-01,USA,Germany,Food,13576.29,104.0
2010-07-28,Japan,Germany,Chemicals,5437.86,303.0
2013-07-04,Italy,Canada,Pharmaceuticals,7627.56,248.0
2010-11-04,India,Russia,Pharmaceuticals,3085.45,13.0
2013-05-13,France,Brazil,Food,33075.99,74.0
2017-01-24,France,Russia,Textiles,10653.27,3276.0
2017-03-17,Russia,Brazil,Machinery,20282.76,542.0
2017-03-12,France,China,Chemicals,6660.46,2413.0
2010-02-02,Canada,France,Chemicals,42460.24,1660.0
2018-07-11,China,USA,Chemicals,11771.34,352.0
2016-11-27,India,Russia,Electronics,18843.21,174.0
2019-04-05,Russia,Germany,Pharmaceuticals,15615.91,67.0
2012-07-05,USA,China,Machinery,376.99,1564.0
2019-12-27,Russia,Italy,Electronics,5433.22,151.0
2013-02-20,Russia,Japan,Machinery,956.55,25.0
2017-01-15,Brazil,USA,Chemicals,2939.57,354.0
2021-09-26,USA,Brazil,Food,6068.87,11.0
2018-08-22,China,Brazil,Chemicals,4027.94,183.0
2021-09-15,Germany,China,Vehicles,6572.13,1256.0
2020-04-11,Brazil,Germany,Pharmaceuticals,7235.79,531.0
2014-08-05,Canada,Germany,Food,7824.95,346.0
2019-04-15,Canada,Italy,Machinery,679.64,421.0
2013-08-03,Italy,China,Chemicals,22464.57,63.0
2011-04-30,Canada,France,Textiles,8137.97,704.0
2019-08-11,Russia,France,Pharmaceuticals,5400.27,99.0
2016-02-03,Canada,China,Textiles,30822.94,794.0
2018-03-26,USA,Japan,Food,23039.27,4166.0
2012-09-21,Russia,France,Textiles,2248.15,394.0
2010-02-16,Canada,Russia,Food,8215.92,75.0
2016-08-24,Japan,India,Electronics,4804.28,51.0
2018-07-07,China,Japan,Machinery,4426.19,625.0
2012-08-22,France,Russia,Chemicals,13003.76,42.0
2015-05-12,France,Canada,Chemicals,3965.15,565.0
2016-02-27,China,Russia,Food,17069.51,842.0
2020-02-04,Japan,Italy,Chemicals,3522.07,166.0
2018-02-24,Canada,Germany,Machinery,3883.83,1974.0
2022-05-17,India,Germany,Textiles,2628.15,32.0
2014-03-05,USA,Russia,Food,2127.21,233.0
2014-05-18,Germany,USA,Chemicals,4565.15,284.0
2011-11-01,USA,Brazil,Machinery,4223.75,6.0
2010-05-26,China,USA,Chemicals,3294.04,75.0
2020-04-15,Russia,Italy,Vehicles,3626.59,333.0
2022-01-26,China,Italy,Chemicals,28415.85,524.0
2011-09-17,Japan,Brazil,Food,7383.21,304.0
2016-08-27,Japan,USA,Electronics,1154.13,107.0
2013-11-04,Japan,Canada,Food,3861.92,172.0
2019-05-05,Canada,India,Pharmaceuticals,6056.88,260.0
2014-07-14,Japan,India,Vehicles,1936.24,175.0
2016-11-28,USA,Italy,Textiles,5858.3,165.0
2017-07-28,USA,France,Food,28990.07,1046.0
2013-05-21,Japan,Germany,Machinery,1231.01,971.0
2013-03-06,USA,France,Vehicles,3235.23,52.0
2015-01-07,USA,Russia,Machinery,2428.59,309.0
2010-02-28,Russia,Germany,Food,7202.56,219.0
2022-12-12,Russia,Canada,Pharmaceuticals,12256.14,446.0
2022-01-19,Canada,France,Vehicles,5960.39,753.0
2012-03-24,Brazil,India,Vehicles,13967.79,240.0
2021-04-13,USA,Italy,Machinery,1252.59,229.0
2012-05-31,USA,India,Textiles,2792.85,1264.0
2014-02-22,Japan,Germany,Textiles,7534.89,289.0
2015-09-26,China,USA,Electronics,349.09,42.0
2016-08-08,Brazil,China,Machinery,2823.05,380.0
2020-08-09,USA,France,Machinery,13906.5,889.0
2016-08-03,Brazil,Russia,Vehicles,547.79,168.0
2012-09-26,Canada,Germany,Vehicles,14583.09,761.0
2012-11-01,Brazil,France,Pharmaceuticals,15608.68,541.0
2018-12-16,USA,Germany,Machinery,900.88,204.0
2014-01-03,Russia,China,Textiles,8815.26,602.0
2022-09-25,USA,Canada,Vehicles,12754.56,1130.0
2017-12-20,Russia,France,Vehicles,26300.34,382.0
2022-06-24,USA,Italy,Chemicals,4996.5,225.0
2011-01-06,France,China,Pharmaceuticals,18598.39,269.0
2019-09-08,Russia,France,Pharmaceuticals,566.26,569.0
2016-10-08,Italy,USA,Textiles,9081.64,1108.0
2016-02-12,France,Germany,Electronics,2030.75,32.0
2022-06-18,China,Brazil,Textiles,11615.18,303.0
2022-07-14,Russia,USA,Machinery,28312.29,49.0
2012-07-25,India,Brazil,Pharmaceuticals,945.35,142.0
2016-04-20,USA,France,Textiles,1414.22,1909.0
2016-05-23,India,China,Textiles,4568.71,1516.0
2019-06-08,France,Japan,Pharmaceuticals,1673.36,1158.0
2019-05-12,France,India,Pharmaceuticals,13753.79,2428.0
2019-05-28,Italy,USA,Textiles,1802.16,66.0
2010-04-23,Italy,China,Pharmaceuticals,1928.96,75.0
2010-09-16,Russia,Germany,Electronics,2657.54,343.0
2013-07-17,China,Russia,Pharmaceuticals,10657.79,5.0
2019-06-06,Germany,India,Electronics,11086.16,1303.0
2018-06-27,Canada,USA,Food,3369.64,261.0
2015-08-15,USA,India,Chemicals,4409.16,294.0
2015-03-10,Italy,India,Machinery,7416.6,265.0
2017-12-17,Canada,Russia,Textiles,29433.64,780.0
2021-04-26,Italy,Brazil,Electronics,3340.8,1469.0
2017-03-27,France,Japan,Textiles,12011.14,625.0
2019-10-14,Italy,Russia,Machinery,7002.22,412.0
2012-06-08,China,France,Electronics,11632.41,546.0
2019-08-05,Japan,India,Machinery,9784.02,300.0
2012-01-01,Russia,Italy,Chemicals,5839.74,51.0
2018-11-18,India,Germany,Machinery,972.57,543.0
2018-05-22,Japan,France,Food,17361.92,863.0
2011-04-05,Brazil,China,Pharmaceuticals,1987.61,547.0
2020-08-28,China,Germany,Textiles,17542.37,72.0
2011-02-06,Canada,USA,Electronics,23678.49,373.0
2017-02-26,Italy,India,Textiles,16806.76,1075.0
2013-05-07,USA,France,Vehicles,3563.79,879.0
2020-04-22,Germany,Canada,Electronics,14839.03,411.0
2013-07-06,Russia,USA,Chemicals,18724.85,1328.0
2013-05-24,Russia,India,Food,22593.68,248.0
2010-06-24,Japan,Canada,Vehicles,14062.57,670.0
2019-10-11,France,Brazil,Machinery,5619.67,586.0
2015-11-19,Japan,Germany,Electronics,23566.99,246.0
2012-09-07,Japan,USA,Vehicles,11744.65,384.0
2017-09-08,Canada,Germany,Pharmaceuticals,6337.44,148.0
2019-03-01,Brazil,India,Food,1930.75,44.0
2010-05-22,Brazil,China,Food,26189.92,654.0
2021-03-01,Japan,China,Pharmaceuticals,21531.08,269.0
2018-10-11,France,Brazil,Pharmaceuticals,28304.44,711.0
2010-08-02,Russia,China,Machinery,1061.13,189.0
2018-06-10,France,USA,Pharmaceuticals,4255.52,654.0
2016-09-04,Brazil,Germany,Chemicals,20134.13,147.0
2014-09-17,Russia,Italy,Chemicals,1617.47,326.0
2013-04-29,France,India,Machinery,42771.42,292.0
2020-10-06,France,India,Textiles,1052.43,201.0
2016-03-26,Brazil,China,Chemicals,54.67,733.0
2020-11-28,Japan,Brazil,Vehicles,1850.05,612.0
2022-07-17,Russia,France,Vehicles,6569.65,447.0
2017-11-16,Germany,France,Chemicals,4772.43,607.0
2019-09-09,France,Brazil,Chemicals,2284.2,282.0
2022-05-16,USA,Germany,Vehicles,14050.67,461.0
2017-06-03,Brazil,USA,Electronics,3943.93,391.0
2014-06-08,India,Brazil,Chemicals,14519.8,150.0
2021-12-23,Japan,Italy,Pharmaceuticals,45.17,496.0
2012-07-24,USA,Italy,Vehicles,10556.84,194.0
2017-01-19,China,Germany,Textiles,1824.7,542.0
2016-01-19,Italy,India,Food,4238.2,307.0
2014-12-12,Italy,France,Food,34369.25,361.0
2019-01-06,India,Canada,Vehicles,369.9,454.0
2019-05-09,Germany,Canada,Chemicals,2212.32,70.0
2017-08-12,France,Brazil,Chemicals,7295.27,478.0
2015-07-01,France,Germany,Machinery,4177.2,619.0
2014-05-21,India,Russia,Textiles,15358.37,509.0
2013-11-23,India,Brazil,Chemicals,16465.28,351.0
2013-02-17,Germany,Japan,Machinery,13764.11,46.0
2013-05-27,Canada,India,Chemicals,1535.39,211.0
2022-06-11,France,USA,Food,5967.96,2179.0
2017-01-15,USA,Germany,Vehicles,20028.32,119.0
2019-02-24,USA,Canada,Machinery,2262.44,138.0
2014-02-13,USA,Japan,Machinery,12585.47,286.0
2022-12-14,Brazil,India,Vehicles,19905.86,96.0
2021-02-20,USA,India,Food,11.14,1443.0
2014-07-16,Japan,China,Food,834.93,1088.0
2010-10-27,USA,Germany,Pharmaceuticals,14202.26,49.0
2011-08-27,Italy,Canada,Pharmaceuticals,8899.29,1734.0
2019-09-11,Canada,India,Textiles,10026.4,1296.0
2017-09-10,Germany,Canada,Pharmaceuticals,9453.01,156.0
2022-05-16,China,Canada,Electronics,5115.23,431.0
2012-01-22,Russia,France,Chemicals,17113.8,194.0
2014-06-15,Germany,Canada,Chemicals,5761.07,269.0
2021-12-03,France,Brazil,Food,8148.79,168.0
2015-08-26,Brazil,China,Food,5731.6,724.0
2017-04-26,USA,Italy,Pharmaceuticals,16177.36,148.0
2014-10-08,Japan,India,Chemicals,11904.51,1079.0
2010-05-09,China,Italy,Chemicals,12127.05,124.0
2020-06-13,Russia,China,Electronics,10060.29,1643.0
2011-04-16,Brazil,China,Electronics,3087.91,14.0
2012-10-12,India,USA,Vehicles,1572.23,386.0
2016-07-28,USA,China,Machinery,15029.49,501.0
2019-02-19,Brazil,France,Chemicals,11708.31,778.0
2017-08-19,USA,China,Pharmaceuticals,13156.58,149.0
2017-04-27,Germany,France,Machinery,6104.99,812.0
2015-03-03,Brazil,Japan,Machinery,7349.15,655.0
2011-07-13,Germany,Japan,Food,2540.43,266.0
2015-12-30,Canada,Brazil,Electronics,10748.1,35.0
2019-12-09,France,Canada,Electronics,1679.77,22.0
2012-02-09,Japan,China,Vehicles,4267.61,439.0
2018-03-17,China,Japan,Chemicals,21110.82,133.0
2010-05-04,Russia,France,Chemicals,3891.12,206.0
2021-04-24,Russia,Germany,Vehicles,6297.39,594.0
2011-12-05,Russia,France,Machinery,7279.44,130.0
2010-01-02,Brazil,Germany,Electronics,29231.67,234.0
2019-10-13,Japan,China,Machinery,8477.21,548.0
2017-08-15,Canada,India,Pharmaceuticals,1800.86,5.0
2012-07-25,Japan,China,Chemicals,35397.15,910.0
2010-07-26,Germany,India,Machinery,305.72,546.0
2016-03-23,China,France,Food,25682.81,156.0
2016-06-03,Brazil,Italy,Food,1518.52,1170.0
2013-12-03,Brazil,Canada,Chemicals,5356.74,24.0
2010-12-03,Russia,USA,Electronics,11784.58,93.0
2020-11-12,USA,Russia,Pharmaceuticals,6077.46,18.0
2010-08-17,USA,Russia,Vehicles,3073.65,1863.0
2010-11-13,Canada,USA,Textiles,2807.79,1260.0
2015-06-24,Russia,China,Chemicals,15959.15,91.0
2019-07-01,China,Brazil,Pharmaceuticals,22163.23,157.0
2015-09-01,Canada,Germany,Chemicals,5538.14,1236.0
2018-02-25,Germany,France,Vehicles,3453.23,146.0
2014-05-18,India,Japan,Electronics,2495.06,399.0
2019-11-07,Italy,Germany,Textiles,13392.93,66.0
2022-12-02,Brazil,Russia,Vehicles,11488.68,150.0
2014-02-27,China,Italy,Chemicals,3213.43,352.0
2019-08-01,USA,Italy,Vehicles,6127.13,633.0
2014-09-04,France,Brazil,Electronics,11562.92,67.0
2011-04-22,Germany,Japan,Machinery,7004.62,570.0
2010-03-29,USA,Germany,Vehicles,9401.77,623.0
2016-12-08,India,USA,Food,10089.64,342.0
2022-07-05,Brazil,France,Vehicles,4182.69,926.0
2014-12-02,Japan,Canada,Food,20792.25,327.0
2020-08-28,Russia,India,Textiles,9532.8,36.0
2017-07-10,Russia,USA,Vehicles,22626.05,1231.0
2019-09-19,Japan,France,Food,18017.06,621.0
2013-06-27,Brazil,Germany,Vehicles,12351.61,78.0
2013-07-06,France,Brazil,Pharmaceuticals,8220.64,314.0
2014-04-02,India,Canada,Chemicals,8078.22,1260.0
2011-06-15,USA,Brazil,Pharmaceuticals,2474.82,1666.0
2010-09-25,Germany,Italy,Food,565.4,158.0
2015-08-08,Canada,France,Machinery,5680.54,159.0
2016-02-29,Russia,Germany,Electronics,7547.43,131.0
2022-12-20,China,Germany,Food,8817.42,148.0
